Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 1200 M2= 6000
    18     1    0.90668576   94.37633120
    18     2    0.90673692   95.28306812
    18     3    0.90677057   96.18983869
    18     4    0.90675721   97.09659591
    18     5    0.90670852   98.00330442
    18     6    0.90667381   98.90997823
    19     1    0.91046367   99.82044190
    19     2    0.91048697  100.73092887
    19     3    0.91054388  101.64147275
    19     4    0.91057838  102.55205113
    19     5    0.91056124  103.46261238
    19     6    0.91051122  104.37312359
    20     1    0.92594634  105.29906994
    20     2    0.92596146  106.22503140
    20     3    0.92600174  107.15103315
    20     4    0.92603104  108.07706418
    20     5    0.92602945  109.00309363
    20     6    0.92598566  109.92907929
    21     1    0.92294242  110.85202172
    21     2    0.92296295  111.77498467
    21     3    0.92296064  112.69794531
    21     4    0.92294445  113.62088975
    21     5    0.92293677  114.54382652
    21     6    0.92292160  115.46674812
    22     1    0.90526095  116.37200907
    22     2    0.90526638  117.27727545
    22     3    0.90527658  118.18255202
    22     4    0.90527777  119.08782980
    22     5    0.90527532  119.99310512
    22     6    0.90524988  120.89835501
    23     1    0.90702197  121.80537698
    23     2    0.90704084  122.71241781
    23     3    0.90707912  123.61949693
    23     4    0.90709772  124.52659465
    23     5    0.90709201  125.43368666
    23     6    0.90704473  126.34073138
    24     1    0.94319448  127.28392587
    24     2    0.94320607  128.22713193
    24     3    0.94322593  129.17035787
    24     4    0.94323099  130.11358886
    24     5    0.94321796  131.05680682
    24     6    0.94319318  132.00000000
 
Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3200 M2= ****
     1     1    0.94324311    0.94324311
     1     2    0.94325889    1.88650200
     1     3    0.94326738    2.82976937
     1     4    0.94326400    3.77303337
     1     5    0.94325139    4.71628476
     1     6    0.94324282    5.65952758
     2     1    0.90718026    6.56670785
     2     2    0.90721444    7.47392228
     2     3    0.90721931    8.38114160
     2     4    0.90720370    9.28834530
     2     5    0.90717849   10.19552379
     2     6    0.90716907   11.10269286
     3     1    0.90537142   12.00806427
     3     2    0.90539043   12.91345470
     3     3    0.90539136   13.81884606
     3     4    0.90538959   14.72423565
     3     5    0.90538242   15.62961806
     3     6    0.90537893   16.53499700
     4     1    0.92272751   17.45772451
     4     2    0.92274138   18.38046588
     4     3    0.92274649   19.30321237
     4     4    0.92275578   20.22596815
     4     5    0.92275543   21.14872358
     4     6    0.92274072   22.07146431
     5     1    0.92573863   22.99720293
     5     2    0.92577023   23.92297316
     5     3    0.92577007   24.84874323
     5     4    0.92574906   25.77449229
     5     5    0.92572226   26.70021455
     5     6    0.92571219   27.62592674
     6     1    0.91072009   28.53664683
     6     2    0.91075470   29.44740152
     6     3    0.91076425   30.35816578
     6     4    0.91074032   31.26890610
     6     5    0.91070419   32.17961029
     6     6    0.91068809   33.09029838
     7     1    0.90693586   33.99723423
     7     2    0.90696055   34.90419478
     7     3    0.90699051   35.81118529
     7     4    0.90699901   36.71818430
     7     5    0.90697751   37.62516181
     7     6    0.90694171   38.53210352
     8     1    0.91871655   39.45082007
     8     2    0.91874171   40.36956178
     8     3    0.91877393   41.28833571
     8     4    0.91878704   42.20712275
     8     5    0.91876866   43.12589141
     8     6    0.91872814   44.04461955
     9     1    0.92086322   44.96548277
     9     2    0.92090011   45.88638288
     9     3    0.92091812   46.80730100
     9     4    0.92090432   47.72820532
     9     5    0.92087111   48.64907642
     9     6    0.92084227   49.56991870
    10     1    0.90982354   50.47974224
    10     2    0.90986126   51.38960350
    10     3    0.90988074   52.29948424
    10     4    0.90986559   53.20934983
    10     5    0.90983048   54.11918031
    10     6    0.90980007   55.02898038
    11     1    0.90883406   55.93781444
    11     2    0.90885999   56.84667443
    11     3    0.90889461   57.75556904
    11     4    0.90890560   58.66447464
    11     5    0.90888744   59.57336207
    11     6    0.90884345   60.48220552
    12     1    0.91960382   61.40180934
    12     2    0.91963736   62.32144670
    12     3    0.91966996   63.24111666
    12     4    0.91968141   64.16079807
    12     5    0.91966045   65.08045852
    12     6    0.91961669   66.00007521
    13     1    0.91961785   66.91969306
    13     2    0.91966205   67.83935510
    13     3    0.91968454   68.75903964
    13     4    0.91967411   69.67871375
    13     5    0.91963459   70.59834834
    13     6    0.91960658   71.51795492
    14     1    0.90883655   72.42679147
    14     2    0.90887825   73.33566972
    14     3    0.90890075   74.24457047
    14     4    0.90889004   75.15346052
    14     5    0.90885584   76.06231636
    14     6    0.90883005   76.97114641
    15     1    0.90979112   77.88093752
    15     2    0.90982142   78.79075894
    15     3    0.90985684   79.70061578
    15     4    0.90987224   80.61048801
    15     5    0.90985283   81.52034084
    15     6    0.90981513   82.43015597
    16     1    0.92083529   83.35099126
    16     2    0.92086431   84.27185557
    16     3    0.92089777   85.19275335
    16     4    0.92091158   86.11366493
    16     5    0.92089336   87.03455828
    16     6    0.92085636   87.95541464
    17     1    0.91872497   88.87413962
    17     2    0.91876558   89.79290520
    17     3    0.91878405   90.71168925
    17     4    0.91877097   91.63046022
    17     5    0.91873869   92.54919890
    17     6    0.91871356   93.46791246
    18     1    0.90693922   94.37485168
    18     2    0.90697504   95.28182673
    18     3    0.90699661   96.18882333
    18     4    0.90698814   97.09581147
    18     5    0.90695819   98.00276966
    18     6    0.90693357   98.90970323
    19     1    0.91068616   99.82038939
    19     2    0.91070227  100.73109166
    19     3    0.91073839  101.64183005
    19     4    0.91076236  102.55259241
    19     5    0.91075277  103.46334518
    19     6    0.91071821  104.37406338
    20     1    0.92571136  105.29977474
    20     2    0.92572145  106.22549619
    20     3    0.92574833  107.15124453
    20     4    0.92576939  108.07701392
    20     5    0.92576951  109.00278343
    20     6    0.92573796  109.92852138
    21     1    0.92274044  110.85126182
    21     2    0.92275513  111.77401695
    21     3    0.92275553  112.69677248
    21     4    0.92274628  113.61951875
    21     5    0.92274118  114.54225993
    21     6    0.92272731  115.46498725
    22     1    0.90537921  116.37036645
    22     2    0.90538262  117.27574907
    22     3    0.90538991  118.18113898
    22     4    0.90539169  119.08653067
    22     5    0.90539077  119.99192145
    22     6    0.90537179  120.89729323
    23     1    0.90717023  121.80446346
    23     2    0.90717962  122.71164308
    23     3    0.90720526  123.61884833
    23     4    0.90722013  124.52606846
    23     5    0.90721562  125.43328408
    23     6    0.90718165  126.34046573
    24     1    0.94324421  127.28370994
    24     2    0.94325235  128.22696229
    24     3    0.94326522  129.17022752
    24     4    0.94326840  130.11349592
    24     5    0.94325997  131.05675588
    24     6    0.94324412  132.00000000
 
 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.94329609    0.94329609
     1     2    0.94330663    1.88660272
     1     3    0.94331233    2.82991504
     1     4    0.94331016    3.77322521
     1     5    0.94330129    4.71652650
     1     6    0.94329582    5.65982232
     2     1    0.90729674    6.56711906
     2     2    0.90732142    7.47444048
     2     3    0.90732410    8.38176459
     2     4    0.90731321    9.28907779
     2     5    0.90729557   10.19637336
     2     6    0.90728955   11.10366291
     3     1    0.90546267   12.00912558
     3     2    0.90547743   12.91460301
     3     3    0.90547804   13.82008104
     3     4    0.90547603   14.72555708
     3     5    0.90547016   15.63102723
     3     6    0.90546769   16.53649492
     4     1    0.92260027   17.45909519
     4     2    0.92261262   18.38170781
     4     3    0.92261582   19.30432363
     4     4    0.92262127   20.22694490
     4     5    0.92261966   21.14956456
     4     6    0.92260894   22.07217351
     5     1    0.92559421   22.99776771
     5     2    0.92561822   23.92338594
     5     3    0.92561716   24.84900310
     5     4    0.92560105   25.77460415
     5     5    0.92558163   26.70018578
     5     6    0.92557481   27.62576059
     6     1    0.91088456   28.53664514
     6     2    0.91091050   29.44755565
     6     3    0.91091560   30.35847125
     6     4    0.91089796   31.26936921
     6     5    0.91087284   32.18024205
     6     6    0.91086115   33.09110320
     7     1    0.90710898   33.99821218
     7     2    0.90712759   34.90533977
     7     3    0.90714853   35.81248831
     7     4    0.90715400   36.71964231
     7     5    0.90713896   37.62678126
     7     6    0.90711230   38.53389357
     8     1    0.91849576   39.45238933
     8     2    0.91851524   40.37090457
     8     3    0.91853801   41.28944259
     8     4    0.91854671   42.20798930
     8     5    0.91853315   43.12652245
     8     6    0.91850287   44.04502531
     9     1    0.92060939   44.96563470
     9     2    0.92063750   45.88627220
     9     3    0.92065034   46.80692254
     9     4    0.92064037   47.72756291
     9     5    0.92061704   48.64817995
     9     6    0.92059451   49.56877446
    10     1    0.91000233   50.47877679
    10     2    0.91003082   51.38880761
    10     3    0.91004475   52.29885237
    10     4    0.91003402   53.20888639
    10     5    0.91000875   54.11889514
    10     6    0.90998554   55.02888068
    11     1    0.90904045   55.93792112
    11     2    0.90906095   56.84698208
    11     3    0.90908536   57.75606744
    11     4    0.90909301   58.66516045
    11     5    0.90907671   59.57423716
    11     6    0.90904470   60.48328186
    12     1    0.91936627   61.40264813
    12     2    0.91938657   62.32203471
    12     3    0.91941128   63.24144599
    12     4    0.91942001   64.16086599
    12     5    0.91940470   65.08027070
    12     6    0.91937206   65.99964275
    13     1    0.91937124   66.91901399
    13     2    0.91939974   67.83841373
    13     3    0.91941549   68.75782922
    13     4    0.91940674   69.67723595
    13     5    0.91938244   70.59661839
    13     6    0.91935725   71.51597564
    14     1    0.90904852   72.42502416
    14     2    0.90907622   73.33410038
    14     3    0.90909270   74.24319309
    14     4    0.90908469   75.15227777
    14     5    0.90906047   76.06133825
    14     6    0.90903478   76.97037302
    15     1    0.91000523   77.88037825
    15     2    0.91002349   78.79040175
    15     3    0.91004900   79.70045075
    15     4    0.91005943   80.61051018
    15     5    0.91004573   81.52055590
    15     6    0.91001271   82.43056861
    16     1    0.92061549   83.35118410
    16     2    0.92063337   84.27181748
    16     3    0.92065708   85.19247456
    16     4    0.92066701   86.11314157
    16     5    0.92065466   87.03379623
    16     6    0.92062226   87.95441849
    17     1    0.91851571   88.87293420
    17     2    0.91854237   89.79147657
    17     3    0.91855631   90.71003288
    17     4    0.91854755   91.62858043
    17     5    0.91852520   92.54710562
    17     6    0.91850064   93.46560626
    18     1    0.90712923   94.37273549
    18     2    0.90715335   95.27988885
    18     3    0.90716826   96.18705711
    18     4    0.90716518   97.09422229
    18     5    0.90714370   98.00136599
    18     6    0.90711898   98.90848497
    19     1    0.91088462   99.81936958
    19     2    0.91089670  100.73026628
    19     3    0.91092064  101.64118692
    19     4    0.91093808  102.55212501
    19     5    0.91093436  103.46305937
    19     6    0.91090324  104.37396261
    20     1    0.92559362  105.29955623
    20     2    0.92560112  106.22515735
    20     3    0.92562051  107.15077786
    20     4    0.92563356  108.07641143
    20     5    0.92563562  109.00204704
    20     6    0.92561159  109.92765863
    21     1    0.92261543  110.85027406
    21     2    0.92262601  111.77290007
    21     3    0.92262771  112.69552778
    21     4    0.92262239  113.61815017
    21     5    0.92261937  114.54076954
    21     6    0.92260700  115.46337654
    22     1    0.90547391  116.36885044
    22     2    0.90547633  117.27432677
    22     3    0.90548224  118.17980901
    22     4    0.90548429  119.08529330
    22     5    0.90548373  119.99077703
    22     6    0.90546896  120.89624599
    23     1    0.90729845  121.80354443
    23     2    0.90730442  122.71084885
    23     3    0.90732209  123.61817095
    23     4    0.90733293  124.52550388
    23     5    0.90733033  125.43283421
    23     6    0.90730567  126.34013988
    24     1    0.94330217  127.28344206
    24     2    0.94330757  128.22674962
    24     3    0.94331645  129.17006607
    24     4    0.94331860  130.11338467
    24     5    0.94331293  131.05669760
    24     6    0.94330240  132.00000000
 
 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.94333871    0.94333871
     1     2    0.94334629    1.88668500
     1     3    0.94335022    2.83003522
     1     4    0.94334861    3.77338383
     1     5    0.94334222    4.71672605
     1     6    0.94333828    5.66006433
     2     1    0.90738631    6.56745064
     2     2    0.90740480    7.47485544
     2     3    0.90740634    8.38226178
     2     4    0.90739811    9.28965989
     2     5    0.90738534   10.19704522
     2     6    0.90738123   11.10442645
     3     1    0.90553160   12.00995806
     3     2    0.90554330   12.91550136
     3     3    0.90554383   13.82104519
     3     4    0.90554227   14.72658746
     3     5    0.90553752   15.63212498
     3     6    0.90553568   16.53766065
     4     1    0.92251136   17.46017201
     4     2    0.92252162   18.38269363
     4     3    0.92252418   19.30521782
     4     4    0.92252799   20.22774580
     4     5    0.92252624   21.15027204
     4     6    0.92251798   22.07279002
     5     1    0.92550190   22.99829192
     5     2    0.92552015   23.92381207
     5     3    0.92551876   24.84933083
     5     4    0.92550651   25.77483734
     5     5    0.92549236   26.70032970
     5     6    0.92548792   27.62581762
     6     1    0.91102374   28.53684137
     6     2    0.91104412   29.44788548
     6     3    0.91104646   30.35893194
     6     4    0.91103369   31.26996563
     6     5    0.91101575   32.18098138
     6     6    0.91100695   33.09198833
     7     1    0.90724653   33.99923486
     7     2    0.90726532   34.90650018
     7     3    0.90727964   35.81377982
     7     4    0.90728318   36.72106300
     7     5    0.90727213   37.62833514
     7     6    0.90725135   38.53558649
     8     1    0.91834479   39.45393128
     8     2    0.91836458   40.37229586
     8     3    0.91838158   41.29067744
     8     4    0.91838747   42.20906490
     8     5    0.91837658   43.12744148
     8     6    0.91835448   44.04579596
     9     1    0.92044740   44.96624336
     9     2    0.92047245   45.88671581
     9     3    0.92048122   46.80719704
     9     4    0.92047326   47.72767030
     9     5    0.92045517   48.64812547
     9     6    0.92044169   49.56856716
    10     1    0.91015708   50.47872424
    10     2    0.91018241   51.38890665
    10     3    0.91019250   52.29909915
    10     4    0.91018460   53.20928375
    10     5    0.91016520   54.11944895
    10     6    0.91015108   55.02960003
    11     1    0.90919927   55.93879930
    11     2    0.90921943   56.84801873
    11     3    0.90923745   57.75725619
    11     4    0.90924253   58.66649872
    11     5    0.90923026   59.57572898
    11     6    0.90920921   60.48493819
    12     1    0.91919215   61.40413034
    12     2    0.91921194   62.32334228
    12     3    0.91922931   63.24257159
    12     4    0.91923557   64.16180716
    12     5    0.91922346   65.08103062
    12     6    0.91920215   66.00023276
    13     1    0.91920075   66.91943352
    13     2    0.91922558   67.83865909
    13     3    0.91923682   68.75789591
    13     4    0.91923023   69.67712614
    13     5    0.91921154   70.59633768
    13     6    0.91919597   71.51553365
    14     1    0.90920389   72.42473755
    14     2    0.90922848   73.33396602
    14     3    0.90924030   74.24320632
    14     4    0.90923460   75.15244092
    14     5    0.90921606   76.06165698
    14     6    0.90920002   76.97085701
    15     1    0.91013752   77.88099453
    15     2    0.91015536   78.79114989
    15     3    0.91017451   79.70132439
    15     4    0.91018205   80.61150644
    15     5    0.91017166   81.52167810
    15     6    0.91014967   82.43182777
    16     1    0.92042617   83.35225394
    16     2    0.92044362   84.27269756
    16     3    0.92046044   85.19315801
    16     4    0.92046788   86.11362589
    16     5    0.92045816   87.03408404
    16     6    0.92043704   87.95452108
    17     1    0.91834329   88.87286437
    17     2    0.91836648   89.79123086
    17     3    0.91837668   90.70960753
    17     4    0.91837016   91.62797769
    17     5    0.91835292   92.54633061
    17     6    0.91833781   93.46466842
    18     1    0.90724231   94.37191073
    18     2    0.90726266   95.27917340
    18     3    0.90727362   96.18644702
    18     4    0.90726956   97.09371658
    18     5    0.90725402   98.00097060
    18     6    0.90723949   98.90821009
    19     1    0.91099489   99.81920497
    19     2    0.91100338  100.73020836
    19     3    0.91102161  101.64122997
    19     4    0.91103492  102.55226489
    19     5    0.91103187  103.46329676
    19     6    0.91101194  104.37430869
    20     1    0.92547954  105.29978823
    20     2    0.92548406  106.22527230
    20     3    0.92549827  107.15077057
    20     4    0.92551056  108.07628113
    20     5    0.92551182  109.00179295
    20     6    0.92549333  109.92728628
    21     1    0.92251477  110.84980105
    21     2    0.92252303  111.77232408
    21     3    0.92252478  112.69484885
    21     4    0.92252103  113.61736988
    21     5    0.92251843  114.53988831
    21     6    0.92250814  115.46239645
    22     1    0.90553310  116.36792954
    22     2    0.90553491  117.27346445
    22     3    0.90553965  118.17900410
    22     4    0.90554124  119.08454534
    22     5    0.90554069  119.99008603
    22     6    0.90552898  120.89561501
    23     1    0.90737741  121.80299242
    23     2    0.90738149  122.71037391
    23     3    0.90739426  123.61776817
    23     4    0.90740245  124.52517062
    23     5    0.90740090  125.43257153
    23     6    0.90738243  126.33995396
    24     1    0.94333523  127.28328919
    24     2    0.94333918  128.22662836
    24     3    0.94334558  129.16997394
    24     4    0.94334717  130.11332112
    24     5    0.94334323  131.05666435
    24     6    0.94333565  132.00000000
 
 Nx=          36 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         198 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.94401721    0.94401721
     1     2    0.94402459    1.88804180
     1     3    0.94402859    2.83207039
     1     4    0.94402698    3.77609737
     1     5    0.94402078    4.72011815
     1     6    0.94401680    5.66413496
     2     1    0.90826206    6.57239702
     2     2    0.90828016    7.48067718
     2     3    0.90828182    8.38895900
     2     4    0.90827373    9.29723273
     2     5    0.90826134   10.20549407
     2     6    0.90825705   11.11375112
     3     1    0.90600161   12.01975273
     3     2    0.90601319   12.92576591
     3     3    0.90601377   13.83177968
     3     4    0.90601206   14.73779174
     3     5    0.90600715   15.64379889
     3     6    0.90600562   16.54980451
     4     1    0.92281506   17.47261957
     4     2    0.92282513   18.39544470
     4     3    0.92282757   19.31827227
     4     4    0.92283167   20.24110394
     4     5    0.92283035   21.16393429
     4     6    0.92282218   22.08675647
     5     1    0.92655362   23.01331009
     5     2    0.92657163   23.93988172
     5     3    0.92657051   24.86645223
     5     4    0.92655944   25.79301168
     5     5    0.92654630   26.71955797
     5     6    0.92654116   27.64609913
     6     1    0.91238700   28.55848613
     6     2    0.91240699   29.47089312
     6     3    0.91240959   30.38330270
     6     4    0.91239638   31.29569908
     6     5    0.91237879   32.20807787
     6     6    0.91237022   33.12044809
     7     1    0.90769169   34.02813978
     7     2    0.90770661   34.93584639
     7     3    0.90772113   35.84356752
     7     4    0.90772429   36.75129181
     7     5    0.90771343   37.65900524
     7     6    0.90769345   38.56669869
     8     1    0.91842245   39.48512115
     8     2    0.91843763   40.40355877
     8     3    0.91845462   41.32201339
     8     4    0.91846150   42.24047489
     8     5    0.91845183   43.15892672
     8     6    0.91842843   44.07735515
     9     1    0.92166771   44.99902286
     9     2    0.92168859   45.92071145
     9     3    0.92169864   46.84241009
     9     4    0.92169284   47.76410294
     9     5    0.92167689   48.68577982
     9     6    0.92165900   49.60743882
    10     1    0.91183203   50.51927086
    10     2    0.91185434   51.43112519
    10     3    0.91186435   52.34298955
    10     4    0.91185653   53.25484608
    10     5    0.91183844   54.16668452
    10     6    0.91182017   55.07850469
    11     1    0.90947839   55.98798308
    11     2    0.90949570   56.89747879
    11     3    0.90951336   57.80699214
    11     4    0.90951754   58.71650968
    11     5    0.90950477   59.62601445
    11     6    0.90948027   60.53549472
    12     1    0.91887297   61.45436769
    12     2    0.91888962   62.37325731
    12     3    0.91890851   63.29216582
    12     4    0.91891502   64.21108084
    12     5    0.91890320   65.12998404
    12     6    0.91887768   66.04886172
    13     1    0.92056633   66.96942805
    13     2    0.92058769   67.89001574
    13     3    0.92060079   68.81061653
    13     4    0.92059650   69.73121303
    13     5    0.92057941   70.65179244
