Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 1200 M2= 6000
    18     1    0.90668576   94.37633120
    18     2    0.90673692   95.28306812
    18     3    0.90677057   96.18983869
    18     4    0.90675721   97.09659591
    18     5    0.90670852   98.00330442
    18     6    0.90667381   98.90997823
    19     1    0.91046367   99.82044190
    19     2    0.91048697  100.73092887
    19     3    0.91054388  101.64147275
    19     4    0.91057838  102.55205113
    19     5    0.91056124  103.46261238
    19     6    0.91051122  104.37312359
    20     1    0.92594634  105.29906994
    20     2    0.92596146  106.22503140
    20     3    0.92600174  107.15103315
    20     4    0.92603104  108.07706418
    20     5    0.92602945  109.00309363
    20     6    0.92598566  109.92907929
    21     1    0.92294242  110.85202172
    21     2    0.92296295  111.77498467
    21     3    0.92296064  112.69794531
    21     4    0.92294445  113.62088975
    21     5    0.92293677  114.54382652
    21     6    0.92292160  115.46674812
    22     1    0.90526095  116.37200907
    22     2    0.90526638  117.27727545
    22     3    0.90527658  118.18255202
    22     4    0.90527777  119.08782980
    22     5    0.90527532  119.99310512
    22     6    0.90524988  120.89835501
    23     1    0.90702197  121.80537698
    23     2    0.90704084  122.71241781
    23     3    0.90707912  123.61949693
    23     4    0.90709772  124.52659465
    23     5    0.90709201  125.43368666
    23     6    0.90704473  126.34073138
    24     1    0.94319448  127.28392587
    24     2    0.94320607  128.22713193
    24     3    0.94322593  129.17035787
    24     4    0.94323099  130.11358886
    24     5    0.94321796  131.05680682
    24     6    0.94319318  132.00000000
 
Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3200 M2= ****
     1     1    0.94324311    0.94324311
     1     2    0.94325889    1.88650200
     1     3    0.94326738    2.82976937
     1     4    0.94326400    3.77303337
     1     5    0.94325139    4.71628476
     1     6    0.94324282    5.65952758
     2     1    0.90718026    6.56670785
     2     2    0.90721444    7.47392228
     2     3    0.90721931    8.38114160
     2     4    0.90720370    9.28834530
     2     5    0.90717849   10.19552379
     2     6    0.90716907   11.10269286
     3     1    0.90537142   12.00806427
     3     2    0.90539043   12.91345470
     3     3    0.90539136   13.81884606
     3     4    0.90538959   14.72423565
     3     5    0.90538242   15.62961806
     3     6    0.90537893   16.53499700
     4     1    0.92272751   17.45772451
     4     2    0.92274138   18.38046588
     4     3    0.92274649   19.30321237
     4     4    0.92275578   20.22596815
     4     5    0.92275543   21.14872358
     4     6    0.92274072   22.07146431
     5     1    0.92573863   22.99720293
     5     2    0.92577023   23.92297316
     5     3    0.92577007   24.84874323
     5     4    0.92574906   25.77449229
     5     5    0.92572226   26.70021455
     5     6    0.92571219   27.62592674
     6     1    0.91072009   28.53664683
     6     2    0.91075470   29.44740152
     6     3    0.91076425   30.35816578
     6     4    0.91074032   31.26890610
     6     5    0.91070419   32.17961029
     6     6    0.91068809   33.09029838
     7     1    0.90693586   33.99723423
     7     2    0.90696055   34.90419478
     7     3    0.90699051   35.81118529
     7     4    0.90699901   36.71818430
     7     5    0.90697751   37.62516181
     7     6    0.90694171   38.53210352
     8     1    0.91871655   39.45082007
     8     2    0.91874171   40.36956178
     8     3    0.91877393   41.28833571
     8     4    0.91878704   42.20712275
     8     5    0.91876866   43.12589141
     8     6    0.91872814   44.04461955
     9     1    0.92086322   44.96548277
     9     2    0.92090011   45.88638288
     9     3    0.92091812   46.80730100
     9     4    0.92090432   47.72820532
     9     5    0.92087111   48.64907642
     9     6    0.92084227   49.56991870
    10     1    0.90982354   50.47974224
    10     2    0.90986126   51.38960350
    10     3    0.90988074   52.29948424
    10     4    0.90986559   53.20934983
    10     5    0.90983048   54.11918031
    10     6    0.90980007   55.02898038
    11     1    0.90883406   55.93781444
    11     2    0.90885999   56.84667443
    11     3    0.90889461   57.75556904
    11     4    0.90890560   58.66447464
    11     5    0.90888744   59.57336207
    11     6    0.90884345   60.48220552
    12     1    0.91960382   61.40180934
    12     2    0.91963736   62.32144670
    12     3    0.91966996   63.24111666
    12     4    0.91968141   64.16079807
    12     5    0.91966045   65.08045852
    12     6    0.91961669   66.00007521
    13     1    0.91961785   66.91969306
    13     2    0.91966205   67.83935510
    13     3    0.91968454   68.75903964
    13     4    0.91967411   69.67871375
    13     5    0.91963459   70.59834834
    13     6    0.91960658   71.51795492
    14     1    0.90883655   72.42679147
    14     2    0.90887825   73.33566972
    14     3    0.90890075   74.24457047
    14     4    0.90889004   75.15346052
    14     5    0.90885584   76.06231636
    14     6    0.90883005   76.97114641
    15     1    0.90979112   77.88093752
    15     2    0.90982142   78.79075894
    15     3    0.90985684   79.70061578
    15     4    0.90987224   80.61048801
    15     5    0.90985283   81.52034084
    15     6    0.90981513   82.43015597
    16     1    0.92083529   83.35099126
    16     2    0.92086431   84.27185557
    16     3    0.92089777   85.19275335
    16     4    0.92091158   86.11366493
    16     5    0.92089336   87.03455828
    16     6    0.92085636   87.95541464
    17     1    0.91872497   88.87413962
    17     2    0.91876558   89.79290520
    17     3    0.91878405   90.71168925
    17     4    0.91877097   91.63046022
    17     5    0.91873869   92.54919890
    17     6    0.91871356   93.46791246
    18     1    0.90693922   94.37485168
    18     2    0.90697504   95.28182673
    18     3    0.90699661   96.18882333
    18     4    0.90698814   97.09581147
    18     5    0.90695819   98.00276966
    18     6    0.90693357   98.90970323
    19     1    0.91068616   99.82038939
    19     2    0.91070227  100.73109166
    19     3    0.91073839  101.64183005
    19     4    0.91076236  102.55259241
    19     5    0.91075277  103.46334518
    19     6    0.91071821  104.37406338
    20     1    0.92571136  105.29977474
    20     2    0.92572145  106.22549619
    20     3    0.92574833  107.15124453
    20     4    0.92576939  108.07701392
    20     5    0.92576951  109.00278343
    20     6    0.92573796  109.92852138
    21     1    0.92274044  110.85126182
    21     2    0.92275513  111.77401695
    21     3    0.92275553  112.69677248
    21     4    0.92274628  113.61951875
    21     5    0.92274118  114.54225993
    21     6    0.92272731  115.46498725
    22     1    0.90537921  116.37036645
    22     2    0.90538262  117.27574907
    22     3    0.90538991  118.18113898
    22     4    0.90539169  119.08653067
    22     5    0.90539077  119.99192145
    22     6    0.90537179  120.89729323
    23     1    0.90717023  121.80446346
    23     2    0.90717962  122.71164308
    23     3    0.90720526  123.61884833
    23     4    0.90722013  124.52606846
    23     5    0.90721562  125.43328408
    23     6    0.90718165  126.34046573
    24     1    0.94324421  127.28370994
    24     2    0.94325235  128.22696229
    24     3    0.94326522  129.17022752
    24     4    0.94326840  130.11349592
    24     5    0.94325997  131.05675588
    24     6    0.94324412  132.00000000
 
 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.94329609    0.94329609
     1     2    0.94330663    1.88660272
     1     3    0.94331233    2.82991504
     1     4    0.94331016    3.77322521
     1     5    0.94330129    4.71652650
     1     6    0.94329582    5.65982232
     2     1    0.90729674    6.56711906
     2     2    0.90732142    7.47444048
     2     3    0.90732410    8.38176459
     2     4    0.90731321    9.28907779
     2     5    0.90729557   10.19637336
     2     6    0.90728955   11.10366291
     3     1    0.90546267   12.00912558
     3     2    0.90547743   12.91460301
     3     3    0.90547804   13.82008104
     3     4    0.90547603   14.72555708
     3     5    0.90547016   15.63102723
     3     6    0.90546769   16.53649492
     4     1    0.92260027   17.45909519
     4     2    0.92261262   18.38170781
     4     3    0.92261582   19.30432363
     4     4    0.92262127   20.22694490
     4     5    0.92261966   21.14956456
     4     6    0.92260894   22.07217351
     5     1    0.92559421   22.99776771
     5     2    0.92561822   23.92338594
     5     3    0.92561716   24.84900310
     5     4    0.92560105   25.77460415
     5     5    0.92558163   26.70018578
     5     6    0.92557481   27.62576059
     6     1    0.91088456   28.53664514
     6     2    0.91091050   29.44755565
     6     3    0.91091560   30.35847125
     6     4    0.91089796   31.26936921
     6     5    0.91087284   32.18024205
     6     6    0.91086115   33.09110320
     7     1    0.90710898   33.99821218
     7     2    0.90712759   34.90533977
     7     3    0.90714853   35.81248831
     7     4    0.90715400   36.71964231
     7     5    0.90713896   37.62678126
     7     6    0.90711230   38.53389357
     8     1    0.91849576   39.45238933
     8     2    0.91851524   40.37090457
     8     3    0.91853801   41.28944259
     8     4    0.91854671   42.20798930
     8     5    0.91853315   43.12652245
     8     6    0.91850287   44.04502531
     9     1    0.92060939   44.96563470
     9     2    0.92063750   45.88627220
     9     3    0.92065034   46.80692254
     9     4    0.92064037   47.72756291
     9     5    0.92061704   48.64817995
     9     6    0.92059451   49.56877446
    10     1    0.91000233   50.47877679
    10     2    0.91003082   51.38880761
    10     3    0.91004475   52.29885237
    10     4    0.91003402   53.20888639
    10     5    0.91000875   54.11889514
    10     6    0.90998554   55.02888068
    11     1    0.90904045   55.93792112
    11     2    0.90906095   56.84698208
    11     3    0.90908536   57.75606744
    11     4    0.90909301   58.66516045
    11     5    0.90907671   59.57423716
    11     6    0.90904470   60.48328186
    12     1    0.91936627   61.40264813
    12     2    0.91938657   62.32203471
    12     3    0.91941128   63.24144599
    12     4    0.91942001   64.16086599
    12     5    0.91940470   65.08027070
    12     6    0.91937206   65.99964275
    13     1    0.91937124   66.91901399
    13     2    0.91939974   67.83841373
    13     3    0.91941549   68.75782922
    13     4    0.91940674   69.67723595
    13     5    0.91938244   70.59661839
    13     6    0.91935725   71.51597564
    14     1    0.90904852   72.42502416
    14     2    0.90907622   73.33410038
    14     3    0.90909270   74.24319309
    14     4    0.90908469   75.15227777
    14     5    0.90906047   76.06133825
    14     6    0.90903478   76.97037302
    15     1    0.91000523   77.88037825
    15     2    0.91002349   78.79040175
    15     3    0.91004900   79.70045075
    15     4    0.91005943   80.61051018
    15     5    0.91004573   81.52055590
    15     6    0.91001271   82.43056861
    16     1    0.92061549   83.35118410
    16     2    0.92063337   84.27181748
    16     3    0.92065708   85.19247456
    16     4    0.92066701   86.11314157
    16     5    0.92065466   87.03379623
    16     6    0.92062226   87.95441849
    17     1    0.91851571   88.87293420
    17     2    0.91854237   89.79147657
    17     3    0.91855631   90.71003288
    17     4    0.91854755   91.62858043
    17     5    0.91852520   92.54710562
    17     6    0.91850064   93.46560626
    18     1    0.90712923   94.37273549
    18     2    0.90715335   95.27988885
    18     3    0.90716826   96.18705711
    18     4    0.90716518   97.09422229
    18     5    0.90714370   98.00136599
    18     6    0.90711898   98.90848497
    19     1    0.91088462   99.81936958
    19     2    0.91089670  100.73026628
    19     3    0.91092064  101.64118692
    19     4    0.91093808  102.55212501
    19     5    0.91093436  103.46305937
    19     6    0.91090324  104.37396261
    20     1    0.92559362  105.29955623
    20     2    0.92560112  106.22515735
    20     3    0.92562051  107.15077786
    20     4    0.92563356  108.07641143
    20     5    0.92563562  109.00204704
    20     6    0.92561159  109.92765863
    21     1    0.92261543  110.85027406
    21     2    0.92262601  111.77290007
    21     3    0.92262771  112.69552778
    21     4    0.92262239  113.61815017
    21     5    0.92261937  114.54076954
    21     6    0.92260700  115.46337654
    22     1    0.90547391  116.36885044
    22     2    0.90547633  117.27432677
    22     3    0.90548224  118.17980901
    22     4    0.90548429  119.08529330
    22     5    0.90548373  119.99077703
    22     6    0.90546896  120.89624599
    23     1    0.90729845  121.80354443
    23     2    0.90730442  122.71084885
    23     3    0.90732209  123.61817095
    23     4    0.90733293  124.52550388
    23     5    0.90733033  125.43283421
    23     6    0.90730567  126.34013988
    24     1    0.94330217  127.28344206
    24     2    0.94330757  128.22674962
    24     3    0.94331645  129.17006607
    24     4    0.94331860  130.11338467
    24     5    0.94331293  131.05669760
    24     6    0.94330240  132.00000000
 
 Nx=          36 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         198 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.94389517    0.94389517
     1     2    0.94390615    1.88780132
     1     3    0.94391161    2.83171293
     1     4    0.94390947    3.77562240
     1     5    0.94390058    4.71952298
     1     6    0.94389487    5.66341784
     2     1    0.90807076    6.57148861
     2     2    0.90809459    7.47958320
     2     3    0.90809751    8.38768071
     2     4    0.90808697    9.29576769
     2     5    0.90806980   10.20383748
     2     6    0.90806395   11.11190143
     3     1    0.90587785   12.01777928
     3     2    0.90589248   12.92367176
     3     3    0.90589326   13.82956501
     3     4    0.90589135   14.73545637
     3     5    0.90588561   15.64134198
     3     6    0.90588324   16.54722523
     4     1    0.92286824   17.47009347
     4     2    0.92287955   18.39297302
     4     3    0.92288336   19.31585638
     4     4    0.92288963   20.23874601
     4     5    0.92288882   21.16163483
     4     6    0.92287829   22.08451312
     5     1    0.92653864   23.01105177
     5     2    0.92656134   23.93761311
     5     3    0.92656110   24.86417421
     5     4    0.92654694   25.79072115
     5     5    0.92652940   26.71725055
     5     6    0.92652245   27.64377299
     6     1    0.91211374   28.55588673
     6     2    0.91213947   29.46802620
     6     3    0.91214458   30.38017077
     6     4    0.91212747   31.29229824
     6     5    0.91210352   32.20440176
     6     6    0.91209224   33.11649401
     7     1    0.90750540   34.02399940
     7     2    0.90752446   34.93152386
     7     3    0.90754490   35.83906876
     7     4    0.90754963   36.74661839
     7     5    0.90753471   37.65415310
     7     6    0.90750922   38.56166232
     8     1    0.91856509   39.48022741
     8     2    0.91858379   40.39881121
     8     3    0.91860715   41.31741836
     8     4    0.91861667   42.23603503
     8     5    0.91860388   43.15463891
     8     6    0.91857422   44.07321312
     9     1    0.92173228   44.99494540
     9     2    0.92175905   45.91670446
     9     3    0.92177296   46.83847742
     9     4    0.92176523   47.76024265
     9     5    0.92174362   48.68198627
     9     6    0.92172119   49.60370746
    10     1    0.91153265   50.51524011
    10     2    0.91156142   51.42680153
    10     3    0.91157526   52.33837679
    10     4    0.91156474   53.24994152
    10     5    0.91154015   54.16148168
    10     6    0.91151741   55.07299908
    11     1    0.90927616   55.98227525
    11     2    0.90929803   56.89157327
    11     3    0.90932173   57.80089500
    11     4    0.90932764   58.71022264
    11     5    0.90931047   59.61953311
    11     6    0.90927968   60.52881280
    12     1    0.91906690   61.44787970
    12     2    0.91908752   62.36696721
    12     3    0.91911310   63.28608032
    12     4    0.91912225   64.20520256
    12     5    0.91910663   65.12430919
    12     6    0.91907439   66.04338358
    13     1    0.92065005   66.96403363
    13     2    0.92067776   67.88471139
    13     3    0.92069537   68.80540676
    13     4    0.92068910   69.72609586
    13     5    0.92066590   70.64676176
    13     6    0.92064027   71.56740203
    14     1    0.91106840   72.47847042
    14     2    0.91109745   73.38956787
    14     3    0.91111432   74.30068220
    14     4    0.91110617   75.21178837
    14     5    0.91108161   76.12286997
    14     6    0.91105579   77.03392577
    15     1    0.91008190   77.94400766
    15     2    0.91010415   78.85411181
    15     3    0.91012899   79.76424080
    15     4    0.91013563   80.67437643
    15     5    0.91011822   81.58449465
    15     6    0.91008582   82.49458048
    16     1    0.91955968   83.41414015
    16     2    0.91958090   84.33372105
    16     3    0.91960690   85.25332795
    16     4    0.91961544   86.17294338
    16     5    0.91959893   87.09254231
    16     6    0.91956620   88.01210851
    17     1    0.92000826   88.93211677
    17     2    0.92003647   89.85215324
    17     3    0.92005512   90.77220836
    17     4    0.92004906   91.69225742
    17     5    0.92002523   92.61228265
    17     6    0.91999840   93.53228105
    18     1    0.91058703   94.44286808
    18     2    0.91061621   95.35348429
    18     3    0.91063451   96.26411880
    18     4    0.91062744   97.17474624
    18     5    0.91060308   98.08534932
    18     6    0.91057574   98.99592505
    19     1    0.91068254   99.90660760
    19     2    0.91070446  100.81731206
    19     3    0.91072987  101.72804193
    19     4    0.91073707  102.63877900
    19     5    0.91071991  103.54949890
    19     6    0.91068684  104.46018574
    20     1    0.92011359  105.38029933
    20     2    0.92013481  106.30043414
    20     3    0.92016059  107.22059473
    20     4    0.92016801  108.14076274
    20     5    0.92015104  109.06091378
    20     6    0.92011818  109.98103196
    21     1    0.91949776  110.90052972
    21     2    0.91952815  111.82005787
    21     3    0.91954655  112.73960443
    21     4    0.91953988  113.65914430
    21     5    0.91951457  114.57865887
    21     6    0.91948692  115.49814580
    22     1    0.91003186  116.40817765
    22     2    0.91006452  117.31824218
    22     3    0.91008212  118.22832429
    22     4    0.91007628  119.13840057
    22     5    0.91005290  120.04845347
    22     6    0.91002555  120.95847902
    23     1    0.91119995  121.86967897
    23     2    0.91122600  122.78090498
    23     3    0.91124974  123.69215471
    23     4    0.91125663  124.60341135
    23     5    0.91124055  125.51465190
    23     6    0.91121187  126.42586377
    24     1    0.92077455  127.34663832
    24     2    0.92079953  128.26743785
    24     3    0.92082185  129.18825970
    24     4    0.92082750  130.10908720
    24     5    0.92080988  131.02989708
    24     6    0.92078488  131.95068196
    25     1    0.91903509  132.86971705
    25     2    0.91906681  133.78878386
    25     3    0.91908261  134.70786647
    25     4    0.91907406  135.62694053
    25     5    0.91904878  136.54598931
    25     6    0.91902938  137.46501869
    26     1    0.90926966  138.37428836
    26     2    0.90930028  139.28358864
    26     3    0.90931738  140.19290601
    26     4    0.90931157  141.10221758
    26     5    0.90928822  142.01150580
    26     6    0.90926705  142.92077286
    27     1    0.91168399  143.83245684
    27     2    0.91170651  144.74416335
    27     3    0.91173050  145.65589385
    27     4    0.91174064  146.56763449
    27     5    0.91172701  147.47936151
    27     6    0.91169933  148.39106084
    28     1    0.92186838  149.31292922
    28     2    0.92189052  150.23481974
    28     3    0.92191188  151.15673162
    28     4    0.92191954  152.07865116
    28     5    0.92190582  153.00055697
    28     6    0.92188015  153.92243712
    29     1    0.91858052  154.84101765
    29     2    0.91861010  155.75962774
    29     3    0.91862297  156.67825071
    29     4    0.91861367  157.59686438
    29     5    0.91859050  158.51545489
    29     6    0.91857219  159.43402708
    30     1    0.90755568  160.34158276
    30     2    0.90758096  161.24916372
    30     3    0.90759582  162.15675953
    30     4    0.90759125  163.06435078
    30     5    0.90757106  163.97192184
    30     6    0.90755238  164.87947422
    31     1    0.91227273  165.79174695
    31     2    0.91228375  166.70403070
    31     3    0.91230755  167.61633825
    31     4    0.91232447  168.52866272
    31     5    0.91231946  169.44098219
    31     6    0.91229425  170.35327644
    32     1    0.92667071  171.27994715
    32     2    0.92667763  172.20662478
    32     3    0.92669502  173.13331980
    32     4    0.92670899  174.06002879
    32     5    0.92670916  174.98673796
    32     6    0.92668702  175.91342498
    33     1    0.92292190  176.83634688
    33     2    0.92293248  177.75927936
    33     3    0.92293331  178.68221267
    33     4    0.92292713  179.60513980
    33     5    0.92292335  180.52806315
    33     6    0.92291218  181.45097533
    34     1    0.90595098  182.35692631
    34     2    0.90595329  183.26287959
    34     3    0.90595897  184.16883856
    34     4    0.90596085  185.07479941
    34     5    0.90596013  185.98075954
    34     6    0.90594576  186.88670530
    35     1    0.90819437  187.79489967
    35     2    0.90820013  188.70309981
    35     3    0.90821713  189.61131694
    35     4    0.90822750  190.51954444
    35     5    0.90822467  191.42776910
    35     6    0.90820113  192.33597023
    36     1    0.94399698  193.27996721
    36     2    0.94400261  194.22396982
    36     3    0.94401139  195.16798121
    36     4    0.94401351  196.11199471
    36     5    0.94400808  197.05600280
    36     6    0.94399720  198.00000000
 
 Nx=          48 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         264 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.94415233    0.94415233
     1     2    0.94416260    1.88831493
     1     3    0.94416806    2.83248299
     1     4    0.94416600    3.77664899
     1     5    0.94415747    4.72080646
